cancer_site,state,race,count,population,crude_rate_100k,crude_rate_per_100k
I(a) Lymphoid leukemias,South Carolina,Black or African American,148,9497442,1.56,1.56
I(b) Acute myeloid leukemias,South Carolina,Black or African American,58,9497442,0.61,0.61
I(c) Chronic myeloproliferative diseases,South Carolina,Black or African American,24,9497442,0.25,0.25
II Lymphoma and reticuloendothelial neoplasms,South Carolina,Black or African American,223,9497442,2.35,2.35
II(a) Hodgkin lymphomas,South Carolina,Black or African American,105,9497442,1.11,1.11
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),South Carolina,Black or African American,97,9497442,1.02,1.02
III CNS and misc intracranial and intraspinal neoplasms,South Carolina,Black or African American,217,9497442,2.2800000000000002,2.28
III(b) Astrocytomas,South Carolina,Black or African American,112,9497442,1.1800000000000002,1.18
III(c) Intracranial and intraspinal embryonal tumors,South Carolina,Black or African American,40,9497442,0.42000000000000004,0.42
III(d) Other gliomas,South Carolina,Black or African American,36,9497442,0.38,0.38
IV Sympathetic nervous system tumors,South Carolina,Black or African American,66,9497442,0.6900000000000001,0.69
IV(a) Neuroblastoma and ganglioneuroblastoma,South Carolina,Black or African American,66,9497442,0.6900000000000001,0.69
V Retinoblastoma,South Carolina,Black or African American,27,9497442,0.27999999999999997,0.28
VI Renal tumors,South Carolina,Black or African American,85,9497442,0.8900000000000001,0.89
VI(a) Nephroblastoma and other nonepithelial renal tumors,South Carolina,Black or African American,69,9497442,0.73,0.73
VI(b) Renal carcinomas,South Carolina,Black or African American,16,9497442,0.17,0.17
VIII Malignant bone tumors,South Carolina,Black or African American,62,9497442,0.65,0.65
VIII(a) Osteosarcomas,South Carolina,Black or African American,50,9497442,0.53,0.53
IX Soft-tissue sarcomas,South Carolina,Black or African American,80,9497442,0.8400000000000001,0.84
IX(a) Rhabdomyosarcomas,South Carolina,Black or African American,33,9497442,0.35000000000000003,0.35
IX(d) Other specified soft tissue sarcomas,South Carolina,Black or African American,33,9497442,0.35000000000000003,0.35
"X Germ-cell, trophoblastic and other gonadal neoplasms",South Carolina,Black or African American,54,9497442,0.5700000000000001,0.57
X(c) Malignant gonadal germ cell tumors,South Carolina,Black or African American,35,9497442,0.37000000000000005,0.37
XI Carcinomas and other malignant epithelial neoplasms,South Carolina,Black or African American,76,9497442,0.8,0.8
XI(b) Thyroid carcinomas,South Carolina,Black or African American,16,9497442,0.17,0.17
XI(f) Other and unspecified carcinomas,South Carolina,Black or African American,43,9497442,0.45,0.45
I Leukemia,South Carolina,White,772,17437445,4.43,4.43
I(a) Lymphoid leukemias,South Carolina,White,572,17437445,3.28,3.28
I(b) Acute myeloid leukemias,South Carolina,White,136,17437445,0.78,0.78
I(c) Chronic myeloproliferative diseases,South Carolina,White,28,17437445,0.16000000000000003,0.16
I(d) Myelodysplastic syndrome and other myeloproliferative,South Carolina,White,20,17437445,0.11000000000000001,0.11
I(e) Unspecified and other specified leukemias,South Carolina,White,16,17437445,0.09000000000000001,0.09
II Lymphoma and reticuloendothelial neoplasms,South Carolina,White,450,17437445,2.58,2.58
II(a) Hodgkin lymphomas,South Carolina,White,210,17437445,1.2000000000000002,1.2
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),South Carolina,White,141,17437445,0.81,0.81
II(c) Burkitt lymphoma,South Carolina,White,50,17437445,0.29,0.29
II(d) Miscellaneous lymphoreticular neoplasms,South Carolina,White,42,17437445,0.24,0.24
III CNS and misc intracranial and intraspinal neoplasms,South Carolina,White,528,17437445,3.0300000000000002,3.03
III(a) Ependymomas and choroid plexus tumor,South Carolina,White,41,17437445,0.24,0.24
III(b) Astrocytomas,South Carolina,White,278,17437445,1.59,1.59
III(c) Intracranial and intraspinal embryonal tumors,South Carolina,White,99,17437445,0.5700000000000001,0.57
III(d) Other gliomas,South Carolina,White,93,17437445,0.53,0.53
IV Sympathetic nervous system tumors,South Carolina,White,143,17437445,0.82,0.82
IV(a) Neuroblastoma and ganglioneuroblastoma,South Carolina,White,142,17437445,0.81,0.81
V Retinoblastoma,South Carolina,White,42,17437445,0.24,0.24
VI Renal tumors,South Carolina,White,124,17437445,0.71,0.71
VI(a) Nephroblastoma and other nonepithelial renal tumors,South Carolina,White,111,17437445,0.6400000000000001,0.64
VII Hepatic tumor,South Carolina,White,46,17437445,0.26,0.26
VII(a) Hepatoblastoma,South Carolina,White,35,17437445,0.2,0.2
VIII Malignant bone tumors,South Carolina,White,146,17437445,0.8400000000000001,0.84
VIII(a) Osteosarcomas,South Carolina,White,65,17437445,0.37000000000000005,0.37
VIII(c) Ewing tumor and related sarcomas of bone,South Carolina,White,62,17437445,0.36000000000000004,0.36
IX Soft-tissue sarcomas,South Carolina,White,176,17437445,1.01,1.01
IX(a) Rhabdomyosarcomas,South Carolina,White,70,17437445,0.4,0.4
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",South Carolina,White,25,17437445,0.13999999999999999,0.14
IX(d) Other specified soft tissue sarcomas,South Carolina,White,52,17437445,0.30000000000000004,0.3
IX(e) Unspecified soft tissue sarcomas,South Carolina,White,29,17437445,0.17,0.17
"X Germ-cell, trophoblastic and other gonadal neoplasms",South Carolina,White,168,17437445,0.96,0.96
X(a) Intracranial & intraspinal germ cell tumors,South Carolina,White,23,17437445,0.13,0.13
X(b) Extracranial & extragonadal germ cell tumors,South Carolina,White,21,17437445,0.12,0.12
X(c) Malignant gonadal germ cell tumors,South Carolina,White,109,17437445,0.63,0.63
XI Carcinomas and other malignant epithelial neoplasms,South Carolina,White,338,17437445,1.94,1.94
XI(b) Thyroid carcinomas,South Carolina,White,129,17437445,0.7400000000000001,0.74
XI(d) Malignant melanomas,South Carolina,White,102,17437445,0.58,0.58
XI(f) Other and unspecified carcinomas,South Carolina,White,98,17437445,0.5599999999999999,0.56
XII Other and unspecified malignant neoplasms,South Carolina,White,18,17437445,0.1,0.1
I Leukemia,South Dakota,American Indian or Alaska Native,32,724961,4.41,4.41
I(a) Lymphoid leukemias,South Dakota,American Indian or Alaska Native,26,724961,3.59,3.59
I Leukemia,South Dakota,White,168,3887781,4.32,4.32
I(a) Lymphoid leukemias,South Dakota,White,115,3887781,2.9600000000000004,2.96
I(b) Acute myeloid leukemias,South Dakota,White,35,3887781,0.9,0.9
II Lymphoma and reticuloendothelial neoplasms,South Dakota,White,110,3887781,2.83,2.83
II(a) Hodgkin lymphomas,South Dakota,White,50,3887781,1.29,1.29
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),South Dakota,White,38,3887781,0.9800000000000001,0.98
III CNS and misc intracranial and intraspinal neoplasms,South Dakota,White,106,3887781,2.7300000000000004,2.73
III(b) Astrocytomas,South Dakota,White,57,3887781,1.47,1.47
III(c) Intracranial and intraspinal embryonal tumors,South Dakota,White,17,3887781,0.44000000000000006,0.44
III(d) Other gliomas,South Dakota,White,22,3887781,0.5700000000000001,0.57
IV Sympathetic nervous system tumors,South Dakota,White,27,3887781,0.6900000000000001,0.69
IV(a) Neuroblastoma and ganglioneuroblastoma,South Dakota,White,27,3887781,0.6900000000000001,0.69
VI Renal tumors,South Dakota,White,28,3887781,0.7200000000000001,0.72
VI(a) Nephroblastoma and other nonepithelial renal tumors,South Dakota,White,25,3887781,0.6400000000000001,0.64
VIII Malignant bone tumors,South Dakota,White,36,3887781,0.9300000000000002,0.93
VIII(a) Osteosarcomas,South Dakota,White,16,3887781,0.41,0.41
VIII(c) Ewing tumor and related sarcomas of bone,South Dakota,White,17,3887781,0.44000000000000006,0.44
IX Soft-tissue sarcomas,South Dakota,White,36,3887781,0.9300000000000002,0.93
IX(a) Rhabdomyosarcomas,South Dakota,White,16,3887781,0.41,0.41
IX(d) Other specified soft tissue sarcomas,South Dakota,White,16,3887781,0.41,0.41
"X Germ-cell, trophoblastic and other gonadal neoplasms",South Dakota,White,41,3887781,1.05,1.05
X(c) Malignant gonadal germ cell tumors,South Dakota,White,25,3887781,0.6400000000000001,0.64
XI Carcinomas and other malignant epithelial neoplasms,South Dakota,White,73,3887781,1.8800000000000001,1.88
XI(b) Thyroid carcinomas,South Dakota,White,29,3887781,0.75,0.75
XI(d) Malignant melanomas,South Dakota,White,17,3887781,0.44000000000000006,0.44
XI(f) Other and unspecified carcinomas,South Dakota,White,23,3887781,0.5900000000000001,0.59
I Leukemia,Tennessee,Asian or Pacific Islander,35,743664,4.71,4.71
I(a) Lymphoid leukemias,Tennessee,Asian or Pacific Islander,24,743664,3.23,3.23
III CNS and misc intracranial and intraspinal neoplasms,Tennessee,Asian or Pacific Islander,24,743664,3.23,3.23
I Leukemia,Tennessee,Black or African American,235,8259622,2.85,2.85
I(a) Lymphoid leukemias,Tennessee,Black or African American,137,8259622,1.6600000000000001,1.66
I(b) Acute myeloid leukemias,Tennessee,Black or African American,57,8259622,0.6900000000000001,0.69
I(c) Chronic myeloproliferative diseases,Tennessee,Black or African American,22,8259622,0.27,0.27
II Lymphoma and reticuloendothelial neoplasms,Tennessee,Black or African American,186,8259622,2.25,2.25
II(a) Hodgkin lymphomas,Tennessee,Black or African American,89,8259622,1.08,1.08
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Tennessee,Black or African American,78,8259622,0.9400000000000001,0.94
III CNS and misc intracranial and intraspinal neoplasms,Tennessee,Black or African American,212,8259622,2.5700000000000003,2.57
III(b) Astrocytomas,Tennessee,Black or African American,96,8259622,1.16,1.16
III(c) Intracranial and intraspinal embryonal tumors,Tennessee,Black or African American,34,8259622,0.41,0.41
III(d) Other gliomas,Tennessee,Black or African American,53,8259622,0.6400000000000001,0.64
IV Sympathetic nervous system tumors,Tennessee,Black or African American,55,8259622,0.67,0.67
IV(a) Neuroblastoma and ganglioneuroblastoma,Tennessee,Black or African American,53,8259622,0.6400000000000001,0.64
V Retinoblastoma,Tennessee,Black or African American,32,8259622,0.39,0.39
VI Renal tumors,Tennessee,Black or African American,76,8259622,0.9199999999999999,0.92
VI(a) Nephroblastoma and other nonepithelial renal tumors,Tennessee,Black or African American,65,8259622,0.79,0.79
VII Hepatic tumor,Tennessee,Black or African American,21,8259622,0.25,0.25
VII(a) Hepatoblastoma,Tennessee,Black or African American,16,8259622,0.19,0.19
VIII Malignant bone tumors,Tennessee,Black or African American,48,8259622,0.58,0.58
VIII(a) Osteosarcomas,Tennessee,Black or African American,40,8259622,0.48,0.48
IX Soft-tissue sarcomas,Tennessee,Black or African American,92,8259622,1.11,1.11
IX(a) Rhabdomyosarcomas,Tennessee,Black or African American,40,8259622,0.48,0.48
IX(d) Other specified soft tissue sarcomas,Tennessee,Black or African American,28,8259622,0.34,0.34
"X Germ-cell, trophoblastic and other gonadal neoplasms",Tennessee,Black or African American,50,8259622,0.61,0.61
X(c) Malignant gonadal germ cell tumors,Tennessee,Black or African American,28,8259622,0.34,0.34
XI Carcinomas and other malignant epithelial neoplasms,Tennessee,Black or African American,85,8259622,1.03,1.03
XI(b) Thyroid carcinomas,Tennessee,Black or African American,32,8259622,0.39,0.39
XI(c) Nasopharyngeal carcinomas,Tennessee,Black or African American,16,8259622,0.19,0.19
XI(f) Other and unspecified carcinomas,Tennessee,Black or African American,30,8259622,0.36000000000000004,0.36
I Leukemia,Tennessee,White,1294,28691984,4.510000000000001,4.51
I(a) Lymphoid leukemias,Tennessee,White,953,28691984,3.3200000000000003,3.32
I(b) Acute myeloid leukemias,Tennessee,White,210,28691984,0.73,0.73
I(c) Chronic myeloproliferative diseases,Tennessee,White,60,28691984,0.21000000000000002,0.21
I(d) Myelodysplastic syndrome and other myeloproliferative,Tennessee,White,37,28691984,0.13,0.13
I(e) Unspecified and other specified leukemias,Tennessee,White,34,28691984,0.12,0.12
II Lymphoma and reticuloendothelial neoplasms,Tennessee,White,758,28691984,2.64,2.64
II(a) Hodgkin lymphomas,Tennessee,White,342,28691984,1.1900000000000002,1.19
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Tennessee,White,249,28691984,0.87,0.87
II(c) Burkitt lymphoma,Tennessee,White,72,28691984,0.25,0.25
II(d) Miscellaneous lymphoreticular neoplasms,Tennessee,White,88,28691984,0.31000000000000005,0.31
III CNS and misc intracranial and intraspinal neoplasms,Tennessee,White,911,28691984,3.18,3.18
III(a) Ependymomas and choroid plexus tumor,Tennessee,White,64,28691984,0.22000000000000003,0.22
III(b) Astrocytomas,Tennessee,White,500,28691984,1.74,1.74
III(c) Intracranial and intraspinal embryonal tumors,Tennessee,White,179,28691984,0.6200000000000001,0.62
III(d) Other gliomas,Tennessee,White,141,28691984,0.49000000000000005,0.49
IV Sympathetic nervous system tumors,Tennessee,White,241,28691984,0.8400000000000001,0.84
IV(a) Neuroblastoma and ganglioneuroblastoma,Tennessee,White,239,28691984,0.8300000000000001,0.83
V Retinoblastoma,Tennessee,White,88,28691984,0.31000000000000005,0.31
VI Renal tumors,Tennessee,White,201,28691984,0.7000000000000001,0.7
VI(a) Nephroblastoma and other nonepithelial renal tumors,Tennessee,White,176,28691984,0.61,0.61
VI(b) Renal carcinomas,Tennessee,White,24,28691984,0.08000000000000002,0.08
VII Hepatic tumor,Tennessee,White,59,28691984,0.21000000000000002,0.21
VII(a) Hepatoblastoma,Tennessee,White,45,28691984,0.16000000000000003,0.16
VIII Malignant bone tumors,Tennessee,White,257,28691984,0.9,0.9
VIII(a) Osteosarcomas,Tennessee,White,137,28691984,0.48,0.48
VIII(c) Ewing tumor and related sarcomas of bone,Tennessee,White,95,28691984,0.33,0.33
IX Soft-tissue sarcomas,Tennessee,White,334,28691984,1.16,1.16
IX(a) Rhabdomyosarcomas,Tennessee,White,142,28691984,0.49000000000000005,0.49
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Tennessee,White,42,28691984,0.15000000000000002,0.15
IX(d) Other specified soft tissue sarcomas,Tennessee,White,106,28691984,0.37000000000000005,0.37
IX(e) Unspecified soft tissue sarcomas,Tennessee,White,44,28691984,0.15000000000000002,0.15
"X Germ-cell, trophoblastic and other gonadal neoplasms",Tennessee,White,284,28691984,0.9900000000000001,0.99
X(a) Intracranial & intraspinal germ cell tumors,Tennessee,White,44,28691984,0.15000000000000002,0.15
X(b) Extracranial & extragonadal germ cell tumors,Tennessee,White,25,28691984,0.09000000000000001,0.09
X(c) Malignant gonadal germ cell tumors,Tennessee,White,195,28691984,0.68,0.68
XI Carcinomas and other malignant epithelial neoplasms,Tennessee,White,574,28691984,2,2
XI(b) Thyroid carcinomas,Tennessee,White,254,28691984,0.8900000000000001,0.89
XI(d) Malignant melanomas,Tennessee,White,149,28691984,0.52,0.52
XI(f) Other and unspecified carcinomas,Tennessee,White,155,28691984,0.54,0.54
XII Other and unspecified malignant neoplasms,Tennessee,White,26,28691984,0.09000000000000001,0.09
I Leukemia,Texas,American Indian or Alaska Native,46,1918285,2.4000000000000004,2.4
I(a) Lymphoid leukemias,Texas,American Indian or Alaska Native,38,1918285,1.9800000000000002,1.98
II Lymphoma and reticuloendothelial neoplasms,Texas,American Indian or Alaska Native,18,1918285,0.9400000000000001,0.94
III CNS and misc intracranial and intraspinal neoplasms,Texas,American Indian or Alaska Native,17,1918285,0.8900000000000001,0.89
XI Carcinomas and other malignant epithelial neoplasms,Texas,American Indian or Alaska Native,17,1918285,0.8900000000000001,0.89
I Leukemia,Texas,Asian or Pacific Islander,361,7410766,4.870000000000001,4.87
I(a) Lymphoid leukemias,Texas,Asian or Pacific Islander,236,7410766,3.18,3.18
I(b) Acute myeloid leukemias,Texas,Asian or Pacific Islander,73,7410766,0.9900000000000001,0.99
I(c) Chronic myeloproliferative diseases,Texas,Asian or Pacific Islander,20,7410766,0.27,0.27
I(d) Myelodysplastic syndrome and other myeloproliferative,Texas,Asian or Pacific Islander,17,7410766,0.22999999999999998,0.23
II Lymphoma and reticuloendothelial neoplasms,Texas,Asian or Pacific Islander,177,7410766,2.39,2.39
II(a) Hodgkin lymphomas,Texas,Asian or Pacific Islander,73,7410766,0.9900000000000001,0.99
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Texas,Asian or Pacific Islander,62,7410766,0.8400000000000001,0.84
II(c) Burkitt lymphoma,Texas,Asian or Pacific Islander,16,7410766,0.22000000000000003,0.22
II(d) Miscellaneous lymphoreticular neoplasms,Texas,Asian or Pacific Islander,24,7410766,0.32000000000000006,0.32
III CNS and misc intracranial and intraspinal neoplasms,Texas,Asian or Pacific Islander,190,7410766,2.5600000000000005,2.56
III(b) Astrocytomas,Texas,Asian or Pacific Islander,81,7410766,1.09,1.09
III(c) Intracranial and intraspinal embryonal tumors,Texas,Asian or Pacific Islander,54,7410766,0.73,0.73
III(d) Other gliomas,Texas,Asian or Pacific Islander,41,7410766,0.55,0.55
IV Sympathetic nervous system tumors,Texas,Asian or Pacific Islander,56,7410766,0.76,0.76
IV(a) Neuroblastoma and ganglioneuroblastoma,Texas,Asian or Pacific Islander,54,7410766,0.73,0.73
V Retinoblastoma,Texas,Asian or Pacific Islander,20,7410766,0.27,0.27
VI Renal tumors,Texas,Asian or Pacific Islander,31,7410766,0.42000000000000004,0.42
VI(a) Nephroblastoma and other nonepithelial renal tumors,Texas,Asian or Pacific Islander,25,7410766,0.34,0.34
VII Hepatic tumor,Texas,Asian or Pacific Islander,24,7410766,0.32000000000000006,0.32
VII(a) Hepatoblastoma,Texas,Asian or Pacific Islander,17,7410766,0.22999999999999998,0.23
VIII Malignant bone tumors,Texas,Asian or Pacific Islander,76,7410766,1.03,1.03
VIII(a) Osteosarcomas,Texas,Asian or Pacific Islander,38,7410766,0.51,0.51
VIII(c) Ewing tumor and related sarcomas of bone,Texas,Asian or Pacific Islander,25,7410766,0.34,0.34
IX Soft-tissue sarcomas,Texas,Asian or Pacific Islander,57,7410766,0.77,0.77
IX(a) Rhabdomyosarcomas,Texas,Asian or Pacific Islander,21,7410766,0.27999999999999997,0.28
IX(d) Other specified soft tissue sarcomas,Texas,Asian or Pacific Islander,19,7410766,0.26,0.26
"X Germ-cell, trophoblastic and other gonadal neoplasms",Texas,Asian or Pacific Islander,90,7410766,1.21,1.21
X(a) Intracranial & intraspinal germ cell tumors,Texas,Asian or Pacific Islander,25,7410766,0.34,0.34
X(c) Malignant gonadal germ cell tumors,Texas,Asian or Pacific Islander,42,7410766,0.5700000000000001,0.57
XI Carcinomas and other malignant epithelial neoplasms,Texas,Asian or Pacific Islander,97,7410766,1.31,1.31
XI(b) Thyroid carcinomas,Texas,Asian or Pacific Islander,65,7410766,0.8800000000000001,0.88
I Leukemia,Texas,Black or African American,732,23942793,3.0600000000000005,3.06
I(a) Lymphoid leukemias,Texas,Black or African American,432,23942793,1.8,1.8
I(b) Acute myeloid leukemias,Texas,Black or African American,167,23942793,0.7000000000000001,0.7
I(c) Chronic myeloproliferative diseases,Texas,Black or African American,77,23942793,0.32000000000000006,0.32
I(d) Myelodysplastic syndrome and other myeloproliferative,Texas,Black or African American,24,23942793,0.1,0.1
I(e) Unspecified and other specified leukemias,Texas,Black or African American,32,23942793,0.13,0.13
II Lymphoma and reticuloendothelial neoplasms,Texas,Black or African American,517,23942793,2.16,2.16
II(a) Hodgkin lymphomas,Texas,Black or African American,223,23942793,0.9300000000000002,0.93
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Texas,Black or African American,215,23942793,0.9,0.9
II(c) Burkitt lymphoma,Texas,Black or African American,37,23942793,0.15000000000000002,0.15
II(d) Miscellaneous lymphoreticular neoplasms,Texas,Black or African American,33,23942793,0.13999999999999999,0.14
III CNS and misc intracranial and intraspinal neoplasms,Texas,Black or African American,640,23942793,2.67,2.67
III(a) Ependymomas and choroid plexus tumor,Texas,Black or African American,57,23942793,0.24,0.24
III(b) Astrocytomas,Texas,Black or African American,298,23942793,1.2400000000000002,1.24
III(c) Intracranial and intraspinal embryonal tumors,Texas,Black or African American,104,23942793,0.43,0.43
III(d) Other gliomas,Texas,Black or African American,144,23942793,0.6000000000000001,0.6
III(e) Other specified intracranial/intraspinal neoplasms,Texas,Black or African American,26,23942793,0.11000000000000001,0.11
IV Sympathetic nervous system tumors,Texas,Black or African American,176,23942793,0.7400000000000001,0.74
IV(a) Neuroblastoma and ganglioneuroblastoma,Texas,Black or African American,165,23942793,0.6900000000000001,0.69
V Retinoblastoma,Texas,Black or African American,85,23942793,0.36000000000000004,0.36
VI Renal tumors,Texas,Black or African American,202,23942793,0.8400000000000001,0.84
VI(a) Nephroblastoma and other nonepithelial renal tumors,Texas,Black or African American,179,23942793,0.75,0.75
VI(b) Renal carcinomas,Texas,Black or African American,22,23942793,0.09000000000000001,0.09
VII Hepatic tumor,Texas,Black or African American,49,23942793,0.2,0.2
VII(a) Hepatoblastoma,Texas,Black or African American,30,23942793,0.13,0.13
VII(b) Hepatic carcinomas,Texas,Black or African American,16,23942793,0.06999999999999999,0.07
VIII Malignant bone tumors,Texas,Black or African American,178,23942793,0.7400000000000001,0.74
VIII(a) Osteosarcomas,Texas,Black or African American,137,23942793,0.5700000000000001,0.57
VIII(c) Ewing tumor and related sarcomas of bone,Texas,Black or African American,18,23942793,0.08000000000000002,0.08
IX Soft-tissue sarcomas,Texas,Black or African American,299,23942793,1.25,1.25
IX(a) Rhabdomyosarcomas,Texas,Black or African American,113,23942793,0.47000000000000003,0.47
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Texas,Black or African American,25,23942793,0.1,0.1
IX(d) Other specified soft tissue sarcomas,Texas,Black or African American,100,23942793,0.42000000000000004,0.42
IX(e) Unspecified soft tissue sarcomas,Texas,Black or African American,56,23942793,0.22999999999999998,0.23
"X Germ-cell, trophoblastic and other gonadal neoplasms",Texas,Black or African American,154,23942793,0.6400000000000001,0.64
X(a) Intracranial & intraspinal germ cell tumors,Texas,Black or African American,34,23942793,0.13999999999999999,0.14
X(b) Extracranial & extragonadal germ cell tumors,Texas,Black or African American,30,23942793,0.13,0.13
X(c) Malignant gonadal germ cell tumors,Texas,Black or African American,66,23942793,0.27999999999999997,0.28
XI Carcinomas and other malignant epithelial neoplasms,Texas,Black or African American,207,23942793,0.86,0.86
XI(b) Thyroid carcinomas,Texas,Black or African American,52,23942793,0.22000000000000003,0.22
XI(c) Nasopharyngeal carcinomas,Texas,Black or African American,34,23942793,0.13999999999999999,0.14
XI(f) Other and unspecified carcinomas,Texas,Black or African American,105,23942793,0.44000000000000006,0.44
XII Other and unspecified malignant neoplasms,Texas,Black or African American,34,23942793,0.13999999999999999,0.14
XII(b) Other unspecified malignant tumors,Texas,Black or African American,23,23942793,0.1,0.1
I Leukemia,Texas,White,8165,139327706,5.86,5.86
I(a) Lymphoid leukemias,Texas,White,5926,139327706,4.25,4.25
I(b) Acute myeloid leukemias,Texas,White,1150,139327706,0.8300000000000001,0.83
I(c) Chronic myeloproliferative diseases,Texas,White,539,139327706,0.39,0.39
I(d) Myelodysplastic syndrome and other myeloproliferative,Texas,White,222,139327706,0.16000000000000003,0.16
I(e) Unspecified and other specified leukemias,Texas,White,328,139327706,0.24,0.24
II Lymphoma and reticuloendothelial neoplasms,Texas,White,3871,139327706,2.7800000000000002,2.78
II(a) Hodgkin lymphomas,Texas,White,1582,139327706,1.1400000000000001,1.14
II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma),Texas,White,1250,139327706,0.9,0.9
II(c) Burkitt lymphoma,Texas,White,298,139327706,0.21000000000000002,0.21
II(d) Miscellaneous lymphoreticular neoplasms,Texas,White,638,139327706,0.45999999999999996,0.46
II(e) Unspecified lymphomas,Texas,White,103,139327706,0.06999999999999999,0.07
III CNS and misc intracranial and intraspinal neoplasms,Texas,White,4661,139327706,3.35,3.35
III(a) Ependymomas and choroid plexus tumor,Texas,White,429,139327706,0.31000000000000005,0.31
III(b) Astrocytomas,Texas,White,2264,139327706,1.62,1.62
III(c) Intracranial and intraspinal embryonal tumors,Texas,White,857,139327706,0.6200000000000001,0.62
III(d) Other gliomas,Texas,White,889,139327706,0.6400000000000001,0.64
III(e) Other specified intracranial/intraspinal neoplasms,Texas,White,97,139327706,0.06999999999999999,0.07
III(f) Unspecified intracranial and intraspinal neoplasms,Texas,White,125,139327706,0.09000000000000001,0.09
IV Sympathetic nervous system tumors,Texas,White,1216,139327706,0.87,0.87
IV(a) Neuroblastoma and ganglioneuroblastoma,Texas,White,1168,139327706,0.8400000000000001,0.84
IV(b) Other peripheral nervous cell tumors,Texas,White,48,139327706,0.03,0.03
V Retinoblastoma,Texas,White,495,139327706,0.36000000000000004,0.36
VI Renal tumors,Texas,White,888,139327706,0.6400000000000001,0.64
VI(a) Nephroblastoma and other nonepithelial renal tumors,Texas,White,790,139327706,0.5700000000000001,0.57
VI(b) Renal carcinomas,Texas,White,88,139327706,0.06,0.06
VII Hepatic tumor,Texas,White,412,139327706,0.30000000000000004,0.3
VII(a) Hepatoblastoma,Texas,White,318,139327706,0.22999999999999998,0.23
VII(b) Hepatic carcinomas,Texas,White,86,139327706,0.06,0.06
VIII Malignant bone tumors,Texas,White,1358,139327706,0.97,0.97
VIII(a) Osteosarcomas,Texas,White,726,139327706,0.52,0.52
VIII(b) Chondrosarcomas,Texas,White,56,139327706,0.04000000000000001,0.04
VIII(c) Ewing tumor and related sarcomas of bone,Texas,White,446,139327706,0.32000000000000006,0.32
VIII(d) Other specified malignant bone tumors,Texas,White,83,139327706,0.06,0.06
VIII(e) Unspecified malignant bone tumors,Texas,White,47,139327706,0.03,0.03
IX Soft-tissue sarcomas,Texas,White,1651,139327706,1.1800000000000002,1.18
IX(a) Rhabdomyosarcomas,Texas,White,642,139327706,0.45999999999999996,0.46
"IX(b) Fibrosarcomas, peripheral nerve & other fibrous",Texas,White,175,139327706,0.13,0.13
IX(d) Other specified soft tissue sarcomas,Texas,White,625,139327706,0.45,0.45
IX(e) Unspecified soft tissue sarcomas,Texas,White,205,139327706,0.15000000000000002,0.15
"X Germ-cell, trophoblastic and other gonadal neoplasms",Texas,White,1961,139327706,1.4100000000000001,1.41
X(a) Intracranial & intraspinal germ cell tumors,Texas,White,253,139327706,0.18000000000000002,0.18
X(b) Extracranial & extragonadal germ cell tumors,Texas,White,227,139327706,0.16000000000000003,0.16
X(c) Malignant gonadal germ cell tumors,Texas,White,1336,139327706,0.96,0.96
X(d) Gonadal carcinomas,Texas,White,66,139327706,0.05,0.05
X(e) Other and unspecified malignant gonadal tumors,Texas,White,79,139327706,0.06,0.06
XI Carcinomas and other malignant epithelial neoplasms,Texas,White,2761,139327706,1.9800000000000002,1.98
XI(a) Adrenocortical carcinomas,Texas,White,37,139327706,0.03,0.03
XI(b) Thyroid carcinomas,Texas,White,1227,139327706,0.8800000000000001,0.88
XI(c) Nasopharyngeal carcinomas,Texas,White,43,139327706,0.03,0.03
XI(d) Malignant melanomas,Texas,White,600,139327706,0.43,0.43
XI(f) Other and unspecified carcinomas,Texas,White,842,139327706,0.6000000000000001,0.6
XII Other and unspecified malignant neoplasms,Texas,White,212,139327706,0.15000000000000002,0.15
XII(a) Other specified malignant tumors,Texas,White,49,139327706,0.04000000000000001,0.04
XII(b) Other unspecified malignant tumors,Texas,White,163,139327706,0.12,0.12
I Leukemia,Utah,American Indian or Alaska Native,16,421758,3.79,3.79
I Leukemia,Utah,Asian or Pacific Islander,28,743441,3.7700000000000005,3.77
I(a) Lymphoid leukemias,Utah,Asian or Pacific Islander,17,743441,2.29,2.29
II Lymphoma and reticuloendothelial neoplasms,Utah,Asian or Pacific Islander,20,743441,2.69,2.69
III CNS and misc intracranial and intraspinal neoplasms,Utah,Asian or Pacific Islander,17,743441,2.29,2.29
I Leukemia,Utah,Black or African American,19,431232,4.41,4.41
I Leukemia,Utah,White,934,19991772,4.670000000000001,4.67
I(a) Lymphoid leukemias,Utah,White,696,19991772,3.48,3.48
I(b) Acute myeloid leukemias,Utah,White,167,19991772,0.8400000000000001,0.84
I(c) Chronic myeloproliferative diseases,Utah,White,38,19991772,0.19,0.19
